run,classification,code_snapshot,predictor,mainline_eligible,artifact_paths,evidence
wmlat_l0p001_s0,"predictor version; control only",ca85772:verl/workers/actor/dp_actor.py.bak_nopred_20260702_151924,true,false,"/mnt/cephfs_home_tianming.sha/grpo_alfworld/checkpoints/grpo_qwen2.5_1.5b_alfworld_seed0_wmlat_l0p001_s0;/mnt/cephfs_home_tianming.sha/grpo_alfworld/logs/eval10x_wmlat_l0p001_s0_results.txt;/mnt/cephfs_home_tianming.sha/grpo_alfworld/logs/world_model_diagnostics/wmlat_l0p001_s0","rescue/cephfs-running-copy-20260703@ca85772"
wmlat_l0p001_s1,"predictor version; control only",ca85772:verl/workers/actor/dp_actor.py.bak_nopred_20260702_151924,true,false,"/mnt/cephfs_home_tianming.sha/grpo_alfworld/checkpoints/grpo_qwen2.5_1.5b_alfworld_seed1_wmlat_l0p001_s1;/mnt/cephfs_home_tianming.sha/grpo_alfworld/logs/world_model_rollouts/wmlat_l0p001_s1_seed1","rescue/cephfs-running-copy-20260703@ca85772"
wmlat_l0p005_s0,"predictor version; control only",ca85772:verl/workers/actor/dp_actor.py.bak_nopred_20260702_151924,true,false,"/mnt/cephfs_home_tianming.sha/grpo_alfworld/checkpoints/grpo_qwen2.5_1.5b_alfworld_seed0_wmlat_l0p005_s0;/mnt/cephfs_home_tianming.sha/grpo_alfworld/logs/world_model_rollouts/wmlat_l0p005_s0_seed0","rescue/cephfs-running-copy-20260703@ca85772"
